date,enddate,piece,role,presenter,location,city,state,notes
9/27/2017,,Solstice Orrery,,Lipa Festival,Iowa State University,Ames,IA,Video Design
8/7/2017,8/11/2017,,Composer,Zeitgeist Composer Workshop,Studio Z,St. Paul,MN,Zeitgeist
7/14/2017,,"feedback vii: speak, contain",,Splinter Reeds,The Walden School,Dublin,NH,Splinter Reeds
5/31/2017,,,improv,Ars Electroacoustica,Black Dog Cafe & Bar,St. Paul,MN,"with Scott Miller, Kyle Hutchins, and Nathan Hanson"
5/26/2017,,APPETITE,,Skewed Visions,Fresh Oysters Performance Research,Minneapolis,MN,with Charles Campbell
4/22/2017,,Gymnopedies,,,Macphail Center for Music,Minneapolis,MN,Andy Myers and Carlynn Savot
4/21/2017,,APSIS,,SEAMUS,St. Cloud State University,St. Cloud,MN,Strains New Music Ensemble
4/20/2017,,,improv,SEAMUS,The Nest at The Pickled Loon,St. Cloud,MN,"Scott Miller, Adam Zahller, and Kyle Hutchins"
4/8/2017,,it teaches us that it doesn't exist,"Composer, Performer",Reembodied Sound: Transducer Conference,Spectrum,New York,NY,
3/19/2017,,,improv,Ars Electroacoustica,House Concert,Minneapolis,MN,with Scott Miller and Jacqueline Ultan
2/28/2017,3/3/2017,Bluets,,Catherine Dalton,A-Mill Artist Lofts,Minneapolis,MN,Sound Design
2/25/2017,,it teaches us that it doesn't exist,,Iowa Composers Forum,Luther College,Decorah,IA,
2/10/2017,,feedback IV,,Root Signals Electronic Music Festival,Georgia Southern University,Statesboro,GA,
1/19/2017,,FEATHERMUCKER,,curated by Kevin Cosgrove,Khyber Pass Cafe,St. Paul,MN,The Dream Songs Project
11/29/2016,,,improv,Ars Electroacoustica,Reverie Cafe and Bar,Minneapolis,MN,with Pat O'Keefe and Scott Miller
11/10/2016,,feedback iii: air,,New Music Festival,University of Wisconson La Crosse,La Crosse,WI,Carlynn Savott
11/10/2016,,it teaches us that it doesn't exist,,New Music Festival,University of Wisconson La Crosse,La Crosse,WI,
11/10/2016,,,improv,New Music Festival,University of Wisconson La Crosse,La Crosse,WI,"no-input mixer, eurorack synthesizer, and live video improvisation"
11/6/2016,,it teaches us that it doesn't exist,,,First Lutheran Church,White Bear Lake,MN,Jeremy Johnston
11/4/2016,,,improv,Ars Electroacoustica,Reverie,Minneapolis,MN,with Adam Zahller
10/29/2016,,,improv,Pink Noise Project,CMS Conference,Santa Fe,NM,with Kyle Hutchins
10/27/2016,,,improv,Pink Noise Project,University of New Mexico,Albuquerque,NM,with Kyle Hutchins
10/26/2016,,,improv,Pink Noise Project,Fort Lewis College,Durango,CO,with Kyle Hutchins
10/24/2016,,,improv,Pink Noise Project,Metropolitan State University,Denver,CO,with Kyle Hutchins
10/20/2016,,it teaches us that it doesn't exist,,,Pearson Lakes Art Center,Okoboji,IA,Jeremy Johnston
10/16/2016,,it teaches us that it doesn't exist,,,Bethlehem Lutheran Church,Two Harbors,MN,Jeremy Johnston
10/7/2016,10/22/2016,The Ballad of Curtis King,(recorded improv),Skewed Visions,Fresh Oysters Performance Research,Minneapolis,MN,with Kyle Hutchins
9/16/2016,,APSIS,,,Macphail Center for Music,Minneapolis,MN,Strains New Music Ensemble
9/16/2016,,if two things don't fit...,,,Macphail Center for Music,Minneapolis,MN,Alyssa Anderson and Benjamin Cold
9/16/2016,,,improv,,Macphail Center for Music,Minneapolis,MN,"(including video design) with Sarah Porwoll-Lee, clarinets"
9/13/2016,,,improv,Ars Electroacoustica,Reverie,Minneapolis,MN,with Scott Miller and Noah Ophoven-Baldwin
6/22/2016,,only that there's a secret,,Quince Contemporary Vocal Ensemble,Walden School,Dublin,NH,Quince Contemporary Vocal Ensemble
6/7/2016,,,improv,NYC Electoacoustic Music Festival,National Sawdust,Brooklyn,NY,with Kyle Hutchins
5/28/2016,,FEATHERMUCKER,,,Fallout Arts,Minneapolis,MN,The Dream Songs Project
5/27/2016,,FEATHERMUCKER,,Punk Ass Classical,The Riverboat,Minneapolis,MN,The Dream Songs Project
5/22/2016,,Live Film Score of Berlin: A City Symphony,,,MacPhail Center for Music,Minneapolis,MN,with Katie Condon
4/24/2016,,,improv,Ars Electroacoustica,Reverie,Minneapolis,MN,"Scott Miller, Sarah Porwoll-Lee, and Nick Zielinski"
4/14/2016,,FEATHERMUCKER (excerpt),,American Composers Forum,Landmark Center,St. Paul,MN,The Dream Songs Project
4/10/2016,,Leviathan,,Univ. of Wisconsin La Crosse,Univ. of Wisconsin La Crosse,La Crosse,WI,Sarah Porwoll-Lee
3/25/2016,3/26/2016,,improv,Patrick's Cabaret,Patrick's Cabaret,Minneapolis,MN,with Kyle Hutchins
3/20/2016,,,improv,Ars Electroacoustica,Honey,Minneapolis,MN,with Scott Miller and Adam Zahller
3/15/2016,,,improv,Ars Electroacoustica,Reverie,Minneapolis,MN,"Ted Moore, laptop; Scott Miller, laptop; Jorrit Dijkstra, saxophone; Nathan Hanson, saxophone"
3/11/2016,,,improv,North American Saxophone Alliance,Texas Tech University,Lubbock,TX,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
3/9/2016,,,improv,,University of North Texas,Denton,TX,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
3/5/2016,,APSIS,,LoSo,SPACE,St. Paul,MN,"Kyle Hutchins, tenor saxophone; James DeVoll, alto flute; Carlynn Savot, cello; Jeremy Johnston, perc.; Ted Moore, laptop"
2/21/2016,,,improv,Ars Electroacoustica,Honey,Minneapolis,MN,"Ted Moore, laptop; Scott Miller, laptop; Jacqueline Ultan, cello"
2/20/2016,,The Eye of Horus,,,University of Iowa,Iowa City,IA,"Craig Hultgren, cello"
2/12/2016,2/26/2016,June,(original songs),Umbrella Collective,The Southern Theater,Minneapolis,MN,
2/12/2016,,,improv,,Punk Ass Classical,Minneapolis,MN,with Kyle Hutchins
2/9/2016,,The Eye of Horus,,,Luther College,Decorah,IA,"Craig Hultgren, cello"
2/8/2016,,The Eye of Horus,,,University of Northern Iowa,Cedar Falls,IA,"Craig Hultgren, cello"
1/29/2016,,The Eye of Horus,,,St. Ambrose University,Davenport,IA,"Craig Hultgren, cello"
1/24/2016,,thread fork thread,,,Fallout Arts,Minneapolis,MN,Strains New Music Ensemble
1/24/2016,,FEATHERMUCKER,,,Dreamland Arts,St. Paul,MN,The Dream Songs Project
1/23/2016,,thread fork thread,,,Dreamland Arts,St. Paul,MN,Strains New Music Ensemble
1/23/2016,,FEATHERMUCKER,,,Plymouth Congregational Church,Minneapolis,MN,The Dream Songs Project
1/22/2016,,FEATHERMUCKER,,,James J. Hill House,St. Paul,MN,The Dream Songs Project
1/17/2016,,,improv,Ars Electroacoustica,The Nicollet,Minneapolis,MN,"Ted Moore, laptop; Scott Miller, laptop; Dan Lippel, guitar"
1/16/2016,,,improv,Ars Electroacoustica,Zahller Residence,Minneapolis,MN,"Ted Moore, laptop; Scott Miller, laptop; Dan Lippel, guitar"
1/15/2016,,,improv,Ars Electroacoustica,The Nest at The Pickled Loon,St. Cloud,MN,"Ted Moore, laptop; Scott Miller, laptop; Dan Lippel, guitar"
1/12/2016,,Mad Minute,,Blake Nellis,Homewood Studios,St. Paul,MN,
12/11/2015,,leviathan,,Sarah Porwoll-Lee,Mound Westonka High School,Minnetonka,MN,"Sarah Porwoll-Lee, bass clarinet; Ted Moore, laptop"
12/11/2015,,,Presentation,Sarah Porwoll-Lee,Mound Westonka High School,Minnetonka,MN,
11/15/2015,,,improv,Ars Electroacoustica,Honey,Minneapolis,MN,"Ted Moore, laptop; Scott Miller, laptop; Elaine Evans, trumpet"
11/15/2015,,,improv,MacPhail Center for Music,Minneapolis Institute of Arts,Minneapolis,MN,"Ted Moore, laptop"
11/13/2015,,if two things don't fit…,,Zeitgeist New Music Cabaret,Studio Z,St. Paul,MN,"Kyle Hutchins,saxophones; Alyssa Anderson, mezzo soprano; Ted Moore, laptop"
11/7/2015,,leviathan,,Sarah Porwoll-Lee,Honey,Minneapolis,MN,"Sarah Porwoll-Lee, bass clarinet; Ted Moore, laptop"
10/31/2015,,leviathan,,,Slam Academy,Minneapolis,MN,"Sarah Porwoll-Lee, bass clarinet; Ted Moore, laptop"
10/24/2015,,Binary Canary Performance,,New Horizons Music Festival,Truman State University,Kirksville,MO,"Kyle Hutchins, woodwinds; Ted Moore, laptop"
10/18/2015,,improvisation,,Ars Electroacoustica,Honey,Minneapolis,MN,"Ted Moore, laptop; Scott Miller, laptop; Davu Seru, drums"
8/30/2015,,Binary Canary Performance,,Ars Electroacoustica,Honey,Minneapolis,MN,"Kyle Hutchins, woodwinds; Ted Moore, laptop; Scott Miller, laptop; Pat O'Keefe, clarinet"
