date,enddate,location,city,state,presenter,piece,role,notes
5/1/2019,,Logan Center for the Arts,Chicago,IL,CHIMEFEST,Approaches to Live Performance and Composition with Machine Learning and Music Information Retrieval Analysis,Researcher,
4/14/2019,,Elastic Arts,Chicago,IL,Elastic Arts,improv,improviser,"Hannah Judd, cello; Ted Moore, laptop"
4/12/2019,,Hairpin Arts Center,Chicago,IL,~Nois Saxophone Quartet,where is where we are,composer,
4/9/2019,,Elastic Arts,Chicago,IL,Ars Electroacoustica,feed,composer,me and Ben Roidl-Ward
3/31/2019,,Constellation,Chicago,IL,Deathstare Duo,crunch,composer,"Dana Jessen, bassoon; Erica Dicker, violin; Ted Moore, electronics"
3/29/2019,,Elastic Arts,Chicago,IL,Elastic Arts,improv,improviser,"Dana Jessen, bassoon; Erica Dicker, violin; Katie Young, bassoon; Ted Moore, electronics"
3/28/2019,,Elastic Arts,Chicago,IL,Elastic Arts,improv,improviser,"Emerson Hunton, drums; Eric Krouse, piano; Ted Moore, electronics"
3/22/2019,,Guarneri Hall,Chicago,IL,New Music Chicago - Impromptu Fest,it teaches us that it doesn't exist,"composer, performer",
3/22/2019,,Guarneri Hall,Chicago,IL,New Music Chicago - Impromptu Fest,improv,improviser,"Tonia Ko, bubble wrap; Ted Moore, electronics"
3/14/2019,,Parker Jazz Club,Austin,TX,SXSW,tap,composer,Line Upon Line Percussion
3/9/2019,,Central Missouri University,Warrensburg,MO,MOXsonic,improv,improviser,Binary Canary + Sean Hamilton
2/14/2019,,Yale University,New Haven,CT,Center for Collaborative Arts and Media,still motion,composer,Matt Gold
2/9/2019,,University of Virginia,Charlottesville,VA,N_SEME,improv,improviser,Ted Moore & Kyle Hutchins
2/5/2019,,Chicago Symphony Center,Chicago,IL,University of Chicago Music Department,patina,composer,Chicago Civic Orchestra
2/4/2019,,Virginia Tech,Blacksburg,VA,Kyle Hutchins: Faculty Recital,column,"composer, performer",Ted Moore & Kyle Hutchins
2/3/2019,,University of Wisconsin Whitewater,Whitewater,WI,Patti Cudd,still motion,composer,"Patti Cudd, Jeff Harriot"
2/1/2019,,Northwestern University,Evanston,IL,Patti Cudd,still motion,"composer, performer",Patti Cudd
1/12/2019,,First Street Studio,Austin,TX,Line Upon Line Percussion,tap,composer,"Adam, Matt, & Cullen"
12/9/2018,,Logan Center for the Arts,Chicago,IL,University of Chicago Music Department,improv,improviser,"Emerson Hunton, drums; Ted Moore, laptop"
11/28/2018,,Western Michigan University,Kalamazoo,MI,WMU Music Department (Chris Biggs),still motion b,"composer, performer",Ted Moore
11/8/2018,,Bowling Green State University,Bowling Green,OH,SPLICE Festival,hollow,"composer, performer",Ted Moore & Kyle Hutchins
11/2/2018,,Experimental Sound Studio,Chicago,IL,Oscillations Series,feed,"composer, performer","Ben Roidl-Ward, bassoon; Ted Moore, electronics"
10/1/2018,,Mayfield School District,Cleveland,OH,Mayfield School District,Rhythm Pedagogy Workshop,Pedagogue,
9/8/2018,,Aftershock Theater,Pittsburgh,PA,Pittsburgh Festival of New Muisc,FEATHERMUCKER,"composer, performer",me and TDSP
8/9/2018,,The Cube at Virginia Tech,Blacksburg,VA,Spatial Music Workshop,column,"composer, performer",
7/27/2018,,OUTr Spaces,Omaha,NE,Omaha Under the Radar,feedback xii,"composer, performer",
7/27/2018,,OUTr Spaces,Omaha,NE,Omaha Under the Radar,it teaches us that it doesn't exist,"composer, performer",
7/27/2018,,OUTr Spaces,Omaha,NE,Omaha Under the Radar,still motion b,"composer, performer",
7/18/2018,,Abrons Art Center,New York,NY,New York City Electroacoustic Music Festival,still motion,"Composer, performer",Patti Cudd
7/16/2018,,Internationales Musikinstitut Darmstadt,Darmstadt,Germany,Internationales Musikinstitut Darmstadt,feedback viii: hollow,"Composer, performer",Ted Moore & Kyle Hutchins
7/16/2018,,Internationales Musikinstitut Darmstadt,Darmstadt,Germany,Internationales Musikinstitut Darmstadt,improv,improviser,Yung-Tuan Ku
7/12/2018,,Zagreb Academy of Music,Zagreb,Croatia,World Saxophone Congress,feedback viii: hollow,"Composer, performer",Ted Moore & Kyle Hutchins
7/5/2018,,STEIM,Amsterdam,Netherlands,STEIM,improv,improviser,Yung-Tuan Ku
6/16/2018,,The Walden School,Dublin,NH,The Walden School,still motion,"Composer, performer",Matt Gold
6/9/2018,,Mass MoCA,North Adams,MA,Mass MoCA,still motion,"Composer, performer",Matt Gold
5/26/2018,,University of Chicago,Chicago,IL,Carillon Festival,the curve is exponential,Composer,"Joey Brink, carillon"
5/16/2018,,Cafe Mustache,Chicago,IL,Cafe Mustache,improv,Laptop Improviser,"Emerson Hunton, drums; Ted Moore, laptop"
5/12/2018,,University of Chicago,Chicago,IL,UChicago Presents,"feedback vii: speak, contain","composer, performer",Imani Winds
4/21/2018,,Northwestern University,Evanston,IL,NUNC3,feedback viii: hollow,"Composer, Performer",
4/12/2018,4/14/2018,University of Chicago,Chicago,IL,UChicago Presents,Broken Jug,Sound designer,
4/7/2018,,Slate Arts,Chicago,IL,Emerson Hunton,improv,Laptop Improviser,"Emerson Hunton, drums; Ted Moore, laptop"
